Data NuEer,bidder,house,date,lot,profit,Net  Payment,rank,realisation in final auAtion,bid,EstDated MinDum,EstDated MaxDum,Aatalog PriAe,Aatalog Du10y,EstDate Min,EstDate Max,Grade Min ,Grade Max,No Grade,ExAlusively US,No Value
1914,7,C,35508,681,1250,-1250,1,7500,10500,6000,8000,0,0,6000,8000,3,2,0,0,0
1915,3,C,35508,681,1016.666667,1016.666667,2,7500,10000,6000,8000,0,0,6000,8000,3,2,0,0,0
1916,5,C,35508,681,116.6666667,116.6666667,3,7500,8200,6000,8000,0,0,6000,8000,3,2,0,0,0
1917,2,C,35508,681,66.66666667,66.66666667,4,7500,8000,6000,8000,0,0,6000,8000,3,2,0,0,0
1918,4,C,35508,681,50,50,5,7500,7900,6000,8000,0,0,6000,8000,3,2,0,0,0
1919,1,C,35508,681,0,0,6,7500,6000,6000,8000,0,0,6000,8000,3,2,0,0,0
1920,6,C,35508,681,0,0,7,7500,6000,6000,8000,0,0,6000,8000,3,2,0,0,0
1921,4,C,35508,688,0,0,1,600,640,500,750,0,0,500,750,3,2,0,0,0
1922,3,C,35508,688,0,0,2,600,600,500,750,0,0,500,750,3,2,0,0,0
1923,2,C,35508,688,0,0,3,600,600,500,750,0,0,500,750,3,2,0,0,0
1924,7,C,35508,688,0,0,4,600,550,500,750,0,0,500,750,3,2,0,0,0
1925,5,C,35508,688,0,0,5,600,450,500,750,0,0,500,750,3,2,0,0,0
1926,1,C,35508,688,0,0,6,600,450,500,750,0,0,500,750,3,2,0,0,0
1927,9,C,35508,69,0,0,1,220,220,0,0,525,1,525,525,3,3,0,1,0
1928,3,C,35508,69,0,0,2,220,110,0,0,525,1,525,525,3,3,0,1,0
1929,5,C,35508,692,0,0,1,1600,1000,0,0,2500,1,2500,2500,2,2,0,0,0
1930,5,C,35508,696,0,0,1,425,425,0,0,750,1,750,750,6,2,0,0,0
1931,5,C,35508,699,0,0,1,475,300,0,0,800,1,800,800,3,3,0,0,0
1932,9,C,35508,70,0,0,1,220,220,0,0,525,1,525,525,3,3,0,1,0
1933,3,C,35508,70,0,0,2,220,110,0,0,525,1,525,525,3,3,0,1,0
1934,3,C,35508,701,0,0,1,160,160,0,0,451.5,1,451.5,451.5,3,2,0,0,0
1935,5,C,35508,703,0,0,1,1900,1800,0,0,4500,1,4500,4500,3,3,0,0,0
1936,5,C,35508,704,0,0,1,290,270,0,0,750,1,750,750,2,2,0,0,0
1937,9,C,35508,71,0,0,1,210,220,0,0,525,1,525,525,3,3,0,1,0
1938,3,C,35508,71,0,0,2,210,110,0,0,525,1,525,525,3,3,0,1,0
1939,5,C,35508,710,0,0,1,400,300,0,0,600,1,600,600,2,2,0,0,0
1940,5,C,35508,711,0,0,1,200,150,0,0,425,1,425,425,3,3,0,0,0
1941,5,C,35508,718,0,0,1,675,475,650,750,0,0,650,750,3,2,0,0,0
1942,3,C,35508,718,0,0,2,675,450,650,750,0,0,650,750,3,2,0,0,0
1943,1,C,35508,718,0,0,3,675,400,650,750,0,0,650,750,3,2,0,0,0
1944,4,C,35508,718,0,0,4,675,375,650,750,0,0,650,750,3,2,0,0,0
1945,8,C,35508,718,0,0,5,675,200,650,750,0,0,650,750,3,2,0,0,0
1946,4,C,35508,719,137.5,-137.5,1,325,790,250,300,0,0,250,300,2,2,0,0,0
